FEATURE,VALUE
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",running (20 km/semaine) depuis toujours (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",running-musculation (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",serveuse dans un restaurant (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",soudeur (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",sport (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","sport  en salle, (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",sport hebdomadaire (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","sport pendant 20 ans, gymnastique puis basket. haut niveau amateur (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",sport: X3/semaine jusqu''a 45 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",sport: cyclisme 5-6000/an pendant 22 an de competititon (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",sportif+++: Golf-Marche (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",surf-snowboard-YOGA quotidien (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",ultra-trail pendant 10 ans (2003-2013)- Running+++ (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo (2)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo  ski marche (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo (10.000 km/an au moins 10 ans) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo 5000km/an course: 5-10/semaine (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo+++ jusqu''a 10 000 km/an il y a 30ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo+++ natation++ fitness (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",velo++++(8-10.000/an) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","velo, natation (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",vigneron (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","viticulteur, 8 km de course a pied par semaine (1)"
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",DFT plutot: faisait sa lessive a 4.00 (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",Maladie d'Alzheimer (26)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",Parkinson (2)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",SEP progressive ? (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",SLA (7)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_MERE_NEURO ] [ STATIC ]",Tumeur cerebrale (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",CJD (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",DFT (2)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",DLFT (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",Maladie d'Alzheimer (9)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",Paralysie (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",Parkinson (6)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",SEP (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",SLA (7)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",SLA? (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",Tumeur cerebrale (1)
"Si décès lié à une maladie neurodégénérative, préciser : [ DCD_PERE_NEURO ] [ STATIC ]",demence senile (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],AVC (9)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],AVC hemorragique (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],AVP (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],CANCER ORL (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],CANCER RENAL (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],CARDIOPATHIE (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],CHAGAS (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],COEUR (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Cancer (6)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Cancer de poumon (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],EP (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Guerre (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],IDM (5)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],INFARCTUS MYOCARDE (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Infarctus (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Infarctus du myocarde (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],K ORL (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],K foie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],K oesophage (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],K pancreas (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],K prostate (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Neoplasie ORL (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],OAP (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],PERITONITE (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Suicide (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],TS (5)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],TUBERCULOSE (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],TUmeur cerebrale (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],TVP (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],Tumeur cerebrale (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],age (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],alcool (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],anevrysme (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],arteriopathie (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],avc (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],avp (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],bronchopathie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer (40)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer ORL (4)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer amiante (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer colique (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer colo rectal (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer colon (3)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer du foie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer du poumon (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer f oie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer foie (3)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer oesophage (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer pancreas (3)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer plueral (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer poumon (4)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer prostate (3)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cancer rectum (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],"cancer""de la farine"" (1)"
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cirrhose (3)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],cirrhose medicamenteuse (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],coeur (24)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],coeur-diabete (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],crise d''epilepsie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],crise uremique (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],"dans son sommeil, vieillesse (1)"
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],diabete (4)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],diabete de type II (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],goutte (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],hemorragie hepatique (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],infarctus du myocarde (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],insuffisance cardiaque (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],leucemie (5)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],lipome (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],lymphome (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],maladie cardiaque (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],myelome (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],neo du rein (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],neo pancreas (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],neoplasie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],neoplasie poumon (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],occlusion (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],pneumonie (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],pneumopathie (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],poumon (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],silicose (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],suicide (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],suite AVC (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],suite de la guerre (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],surdosage medicament (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],tabac+++ (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],troubles respiratoires (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],tuberculose (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],tumeur cerebrale (2)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],ulcere estomac (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],ulceres (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],uree (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],veillesse (1)
Si décédé de maladie autre que neurodégénérative : [ DCD_PERE_AUTRNEURO ] [ STATIC ],vieillesse (5)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],AVC (16)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],AVP (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Alzheimer (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],CANCER (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],CANCER COLON (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],CANCER VESSIE (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],COVID (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],COVID? (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],CROHN (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Cancer (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Cancer du sein (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Cancer oesophage (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Coeur (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],EP (3)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Embolie Pulmonaire (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Embolie pulmonaire (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],HTA (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],IDM (3)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],K pancreas (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],K sein (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],PR (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],SUICIDE (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],TS (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Tumeur cerebrale (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Tumeur pancreas (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],VIEILLESSE (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],Vaquez (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],alccol (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],"alzheimer debut a 80 ans, embolie pulmonaire (1)"
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],anevrysme (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],arteriopathie (4)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cacner de l''endometre (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer (27)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer de l''endometre (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer du foie (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer du pancreas (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer du sein (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer estomac (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer foie (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer ovaire (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer pancreas (4)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer poumon (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer sein (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer uterus (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cancer vessie (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],cirrhose medicament (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],coeur (19)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],diabete (3)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],eSCARRE (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],embolie pulmonaire (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],hepatite (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],infection (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],insuffisance cardiaque (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],leucemie (3)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],liee au meningiome (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],lymphome (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],mort brutale (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],neoplasie (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],pathologie cardio respiratoire (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],plaie variqueuse (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],pneumonie (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],polyarthrite rhumatoide (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],polypes intestin (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],post op (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],poumon (2)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],rein (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],septicemie (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],suicide (1)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],tuberculose (3)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],vieillesse (19)
Si décédée de maladie autre que neurodégénérative : [ DCD_MERE_AUTRNEURO ] [ STATIC ],viellesse (1)
Soins infirmiers : [ TTT_SOINS ] [ STATIC ],Non (30)
Soins infirmiers : [ TTT_SOINS ] [ STATIC ],Oui (4)
Sonde naso-gastrique : [ TTT_SONDE ] [ STATIC ],Non (33)
Sonde naso-gastrique : [ TTT_SONDE ] [ STATIC ],Oui (14)
Stylo Radial Droit : [ STYLO_RADIAL_D ] [ STATIC ],aboli ou diminue (9)
Stylo Radial Droit : [ STYLO_RADIAL_D ] [ STATIC ],normal (15)
Stylo Radial Droit : [ STYLO_RADIAL_D ] [ STATIC ],present dans un muscle atrophie (3)
Stylo Radial Droit : [ STYLO_RADIAL_D ] [ STATIC ],"vif, diffuse, polycinetique (39)"
Stylo Radial Gauche : [ STYLO_RADIAL_G ] [ STATIC ],aboli ou diminue (9)
Stylo Radial Gauche : [ STYLO_RADIAL_G ] [ STATIC ],normal (13)
Stylo Radial Gauche : [ STYLO_RADIAL_G ] [ STATIC ],present dans un muscle atrophie (2)
Stylo Radial Gauche : [ STYLO_RADIAL_G ] [ STATIC ],"vif, diffuse, polycinetique (42)"
Trachéotomie : [ TTT_TRACH ] [ STATIC ],Non (48)
Trachéotomie : [ TTT_TRACH ] [ STATIC ],Oui (9)
Traitement non médicamenteux : [ TTT_NOMEDQ ] [ STATIC ],Non (9)
Traitement non médicamenteux : [ TTT_NOMEDQ ] [ STATIC ],Oui (366)
Traitements symptomatiques : [ TTTSYMPT ] [ STATIC ],Non (13)
Traitements symptomatiques : [ TTTSYMPT ] [ STATIC ],Oui (88)
Traitements étiologiques : [ TTTETIOL ] [ STATIC ],Non (2)
Traitements étiologiques : [ TTTETIOL ] [ STATIC ],Oui (851)
Tricipital Droit : [ TRICIPITAL_D ] [ STATIC ],aboli ou diminue (9)
Tricipital Droit : [ TRICIPITAL_D ] [ STATIC ],normal (14)
Tricipital Droit : [ TRICIPITAL_D ] [ STATIC ],present dans un muscle atrophie (6)
Tricipital Droit : [ TRICIPITAL_D ] [ STATIC ],"vif, diffuse, polycinetique (37)"
Tricipital Gauche : [ TRICIPITAL_G ] [ STATIC ],aboli ou diminue (10)
Tricipital Gauche : [ TRICIPITAL_G ] [ STATIC ],normal (14)
Tricipital Gauche : [ TRICIPITAL_G ] [ STATIC ],present dans un muscle atrophie (6)
Tricipital Gauche : [ TRICIPITAL_G ] [ STATIC ],"vif, diffuse, polycinetique (36)"
Tronc : [ TRONC ] [ STATIC ],nulle (35)
Tronc : [ TRONC ] [ STATIC ],presente (11)
Type de gastrostomie : [ TYPE_GASTRO ] [ STATIC ],Chirurgicale (8)
Type de gastrostomie : [ TYPE_GASTRO ] [ STATIC ],Sonde percutanee (123)
VNI : [ TTT_VNI ] [ STATIC ],Non (45)
VNI : [ TTT_VNI ] [ STATIC ],Oui (265)
Vitamine E : [ VIT_E ] [ STATIC ],Non (5)
Vitamine E : [ VIT_E ] [ STATIC ],Oui (102)
cause_deces [ STATIC ],Inconnue (73)
cause_deces [ STATIC ],Liee a la SLA (420)
cause_deces [ STATIC ],Liée à la SLA (2)
cause_deces [ STATIC ],Non liee a la SLA (21)
cause_lie_sla [ STATIC ],Autre cause (6)
cause_lie_sla [ STATIC ],Chute avec mort secondaire (1)
cause_lie_sla [ STATIC ],Embolie pulmonaire (4)
cause_lie_sla [ STATIC ],Fausse route (3)
cause_lie_sla [ STATIC ],Insuffisance respiratoire (325)
cause_lie_sla [ STATIC ],Mort subite (4)
cause_lie_sla [ STATIC ],Phase terminale (27)
cause_lie_sla [ STATIC ],Syndrome de renutrition (1)
