FEATURE,VALUE
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],details non connus (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],detresse respiratoire a domicile sur fausse route (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],detresse respiratoire malgre VNI necessitant sedation (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],detresse respiratoire subaigue en rapport avec une decompensation de l''insuffisance restrictive chronique par une pneumopathie d''inhalation (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],embolie pulmonaire (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],en USP (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],"encombrement, detresse respiratoire subaigue (1)"
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],pas d''information supplementaire (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],sedation USP Blois (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],soins palliatifs a domicile (1)
Détail de la cause du décès : [ DET_DCD ] [ STATIC ],uhcd trousseau (1)
Ergothérapie : [ TTT_ERGO ] [ STATIC ],Non (27)
Ergothérapie : [ TTT_ERGO ] [ STATIC ],Oui (6)
Essai Clinique non médicamenteux n° 1 : [ EC1 ] [ STATIC ],Non (25)
Essai Clinique non médicamenteux n° 1 : [ EC1 ] [ STATIC ],Oui (95)
Etude de biologie moléculaire : [ ETUDE_BIOMOL ] [ STATIC ],Non (1)
Etude de biologie moléculaire : [ ETUDE_BIOMOL ] [ STATIC ],Oui (735)
Fauteuil roulant : [ TTT_FAUTEUIL ] [ STATIC ],Non (28)
Fauteuil roulant : [ TTT_FAUTEUIL ] [ STATIC ],Oui (145)
GAZOMETRIE_PP [ STATIC ],Arterielle (470)
GAZOMETRIE_PP [ STATIC ],Capillaire arterialise (1)
Gastrostomie : [ TTT_GASTRO ] [ STATIC ],Non (26)
Gastrostomie : [ TTT_GASTRO ] [ STATIC ],Oui (179)
Kinésithérapie : [ TTT_KINE ] [ STATIC ],Non (13)
Kinésithérapie : [ TTT_KINE ] [ STATIC ],Oui (35)
Langue : [ LANGUE ] [ STATIC ],nulle (23)
Langue : [ LANGUE ] [ STATIC ],presente (23)
Langue : [ LANGUE ] [ STATIC ],tres abondantes (8)
Lieu de début : [ LIEUDEB ] [ STATIC ],Bulbar (307)
Lieu de début : [ LIEUDEB ] [ STATIC ],Respiratory (22)
Lieu de début : [ LIEUDEB ] [ STATIC ],Spinal (579)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Echelle fonctionnelle bulbaire (3)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Echelle fonctionnelle bulbaire | Neurologique (2)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Neurologique (25)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Testing musculaire (41)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Testing musculaire | Echelle fonctionnelle bulbaire (2)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Testing musculaire | Echelle fonctionnelle bulbaire | Neurologique (5)
Liste des évaluations complémentaires possibles : [ MODUL_OPTION ] [ STATIC ],Testing musculaire | Neurologique (38)
Lit médicalisé : [ TTT_LIT ] [ STATIC ],Non (29)
Lit médicalisé : [ TTT_LIT ] [ STATIC ],Oui (5)
Membre inférieur : [ MEMBRE_INF ] [ STATIC ],nulle (21)
Membre inférieur : [ MEMBRE_INF ] [ STATIC ],presente (24)
Membre inférieur : [ MEMBRE_INF ] [ STATIC ],tres abondantes (7)
Membre inférieur D : [ MEMBRE_INF_D ] [ STATIC ],Absence d'hypertonie (13)
Membre inférieur D : [ MEMBRE_INF_D ] [ STATIC ],Hypertonie juste detectable (6)
Membre inférieur D : [ MEMBRE_INF_D ] [ STATIC ],Hypertonie marquee mais facilement corrigee (5)
Membre inférieur D : [ MEMBRE_INF_D ] [ STATIC ],Hypertonie marquee mais tres difficile a corriger (3)
Membre inférieur G : [ MEMBRE_INF_G ] [ STATIC ],Absence d'hypertonie (13)
Membre inférieur G : [ MEMBRE_INF_G ] [ STATIC ],Hypertonie juste detectable (5)
Membre inférieur G : [ MEMBRE_INF_G ] [ STATIC ],Hypertonie marquee mais facilement corrigee (7)
Membre inférieur G : [ MEMBRE_INF_G ] [ STATIC ],Hypertonie marquee mais tres difficile a corriger (2)
Membre supérieur : [ MEMBRE_SUP ] [ STATIC ],nulle (16)
Membre supérieur : [ MEMBRE_SUP ] [ STATIC ],presente (30)
Membre supérieur : [ MEMBRE_SUP ] [ STATIC ],tres abondantes (7)
Membre supérieur D : [ MEMBRE_SUP_D ] [ STATIC ],Absence d'hypertonie (21)
Membre supérieur D : [ MEMBRE_SUP_D ] [ STATIC ],Hypertonie juste detectable (4)
Membre supérieur D : [ MEMBRE_SUP_D ] [ STATIC ],Hypertonie marquee mais facilement corrigee (2)
Membre supérieur G : [ MEMBRE_SUP_G ] [ STATIC ],Absence d'hypertonie (20)
Membre supérieur G : [ MEMBRE_SUP_G ] [ STATIC ],Hypertonie juste detectable (6)
Membre supérieur G : [ MEMBRE_SUP_G ] [ STATIC ],Hypertonie marquee mais facilement corrigee (1)
Orthophonie : [ TTT_ORTHO ] [ STATIC ],Non (21)
Orthophonie : [ TTT_ORTHO ] [ STATIC ],Oui (16)
Oxygénothérapie : [ TTT_OXY ] [ STATIC ],Non (46)
Oxygénothérapie : [ TTT_OXY ] [ STATIC ],Oui (9)
PEMAX_PP [ STATIC ],Soutenu 1 seconde (34)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Autre (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Autre | Gastrostomie (2)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Complements alimentaires (10)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Ergotherapie | Autre | Orthophonie | Gastrostomie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant (119)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Complements alimentaires | Kinesitherapie | Ergotherapie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Ergotherapie | Kinesitherapie | Soins infirmiers | Complements alimentaires | Lit medicalise (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Gastrostomie (6)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Kinesitherapie (4)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Lit medicalise (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Fauteuil roulant | Sonde naso-gastrique (4)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie (146)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Autre (4)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Complements alimentaires (2)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Fauteuil roulant (5)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Kinesitherapie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Kinesitherapie | Complements alimentaires (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Gastrostomie | Kinesitherapie | Soins infirmiers (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie (9)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Complements alimentaires | Fauteuil roulant (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Fauteuil roulant (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Gastrostomie (2)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Gastrostomie | Complements alimentaires (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Gastrostomie | Ergotherapie | Fauteuil roulant | Lit medicalise | Appareils de communication (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Lit medicalise (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Orthophonie (3)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Orthophonie | Complements alimentaires | Gastrostomie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Orthophonie | Gastrostomie (2)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Orthophonie | Soins infirmiers (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Kinesitherapie | Soins infirmiers (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Lit medicalise | Fauteuil roulant | Appareils de communication | Ergotherapie | Complements alimentaires | Orthophonie | Kinesitherapie | Sonde naso-gastrique (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Orthophonie (3)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Orthophonie | Complements alimentaires (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Orthophonie | Complements alimentaires | Gastrostomie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Orthophonie | Gastrostomie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Orthophonie | Kinesitherapie (1)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Sonde naso-gastrique (5)
Prise en charge non médicamenteuse : [ TTT_TEMPLATE ] [ STATIC ],Sonde naso-gastrique | Gastrostomie (1)
Riluzole : [ RILUZ ] [ STATIC ],Non (3)
Riluzole : [ RILUZ ] [ STATIC ],Oui (847)
Rotulien Droit : [ ROTULIEN_D ] [ STATIC ],aboli ou diminue (8)
Rotulien Droit : [ ROTULIEN_D ] [ STATIC ],normal (9)
Rotulien Droit : [ ROTULIEN_D ] [ STATIC ],present dans un muscle atrophie (6)
Rotulien Droit : [ ROTULIEN_D ] [ STATIC ],"vif, diffuse, polycinetique (43)"
Rotulien Gauche : [ ROTULIEN_G ] [ STATIC ],aboli ou diminue (8)
Rotulien Gauche : [ ROTULIEN_G ] [ STATIC ],normal (9)
Rotulien Gauche : [ ROTULIEN_G ] [ STATIC ],present dans un muscle atrophie (3)
Rotulien Gauche : [ ROTULIEN_G ] [ STATIC ],"vif, diffuse, polycinetique (46)"
Réflexe cutané plantaire Droit : [ R_CUT_PLANTAIRE_D ] [ STATIC ],Aboli (11)
Réflexe cutané plantaire Droit : [ R_CUT_PLANTAIRE_D ] [ STATIC ],Extension (29)
Réflexe cutané plantaire Droit : [ R_CUT_PLANTAIRE_D ] [ STATIC ],Flexion (8)
Réflexe cutané plantaire Droit : [ R_CUT_PLANTAIRE_D ] [ STATIC ],Indifferent (10)
Réflexe cutané plantaire Gauche : [ R_CUT_PLANTAIRE_G ] [ STATIC ],Aboli (10)
Réflexe cutané plantaire Gauche : [ R_CUT_PLANTAIRE_G ] [ STATIC ],Extension (24)
Réflexe cutané plantaire Gauche : [ R_CUT_PLANTAIRE_G ] [ STATIC ],Flexion (9)
Réflexe cutané plantaire Gauche : [ R_CUT_PLANTAIRE_G ] [ STATIC ],Indifferent (14)
Réflexe masséterin : [ R_MASSETERIN ] [ STATIC ],Normal (27)
Réflexe masséterin : [ R_MASSETERIN ] [ STATIC ],Vif (27)
Réflexe naso palpébral : [ R_NASO_PALP ] [ STATIC ],Normal (30)
Sexe : [ SEX ] [ STATIC ],Feminin (436)
Sexe : [ SEX ] [ STATIC ],Masculin (477)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",20-30 km de rameurs  soit 80000 km (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Aide soignante (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","Aikido 3e Dan, Judo 1e Dan (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Ancien jardinier (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",BASKET a un niveau national jusqu''a 36 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",BASKET pendant 20 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",BUCHERON (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",CHAUFFEUR ROUTIER (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",COURSE A PIED (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Compagnies de combat a l''armee-Running (2/SEmaine) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Danse de salon (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Danse sportive pendant 10 ans. Champion France x2 (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",EMPLOYE DE MAIRIE (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Foot en amateur (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Football jusqu''en 1996 (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Football-Velo (competition-8000/an pendant 10 ans) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Footballeur pro (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","Footing, Velo (6_8000 km/an) (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Gymnastique (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",HANDBALL+++ (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Handball j15-40 ans et tennis de 15-48: 8/9h/semaine (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",International de Basket (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Militiare: commando mrine pendant 21 ans(Guerre Yougoslavie) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",POMPIER PROFESSIONNEL (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",SPORT +++ natation-Velo (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",TRIATHLETE en competition (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Tennis ++ pendant 35 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",VTT 80km/semaine depuis 10 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",VTT et semi-marathon+++ pendant au moins 20 ans (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Velo (3000/an) depuis 1989 marche+++ (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",Velo: 11000 km/an depuis l''age de 15 ans. (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",activite bucheron en loisir (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",agent de service en lycee (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",agriculteur (3)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",agricultrice (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",ancien nageur en competititon (departmeental et regional) cadet-junior (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",artisan dans le batiment (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",athletisme-handball-rugby-natation (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",aviron a hauit niveau (equipe de France) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]","bi-athlon, courses longue duree, 100 km de Millau, raid (1)"
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",cyclisme (5000 km/an pendant 40 ans) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",cyclisme pendant 7 ans en amateur a un niveau eleve jusqu''a 20.000 km/an (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",cyclisme: 3000-4000/an (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",electricien (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",emploi d''ASH (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",exploitant agricole (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",femme au foyer (3 enfants) (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",femme de menage (1)
"Si Oui, préciser le type d'activité physique : [ TYP_ACT_PHYS ] [ STATIC ]",foot   tennis (1)
