"median","Q1","Q3","value","FEATURE"
5,5,5,"4.9 ± 0.4","Extension du cou [ ID733S2V11_muscu_16 ] [ STATIC ]"
30.3,24.3,32.5,"26.4 ± 10.6","FS (FS_LY)"
1.7,1.5,1.7,"1.5 ± 0.5","FS (FS_LY_VA)"
8.6,7.4,10.1,"8.9 ± 3.2","FS (FS_MONO)"
0.5,0.4,0.6,"0.5 ± 0.1","FS (FS_MONO_VA)"
0.6,0.4,0.7,"0.6 ± 0.3","FS (FS_PB)"
0,0,0,"0.0 ± 0.0","FS (FS_PB_VA)"
1.4,1.4,2.9,"2.9 ± 3.1","FS (FS_PE)"
0.1,0.1,0.2,"0.2 ± 0.2","FS (FS_PE_VA)"
54.8,53.8,62.2,"61.2 ± 14.1","FS (FS_PN)"
3.1,2.8,4,"3.7 ± 1.5","FS (FS_PN_VA)"
15.8,15.1,17.5,"16.4 ± 2.1","FT4 (4FT4)"
100.5,84,113.5,"97.6 ± 24.2","FVC"
10,9.3,11.1,"10.3 ± 1.4","Facteurs rhumatoides (2FRSPA)"
19,16,23,"19.5 ± 6.0","Fer (FE)"
194,113,338.3,"254.1 ± 210.2","Ferritine (FERRI)"
4.5,4,5,"4.4 ± 0.8","Flexion de cuisse sur le bassin (Droit) [ ID733S2V11_muscu_13_d ] [ STATIC ]"
5,4,5,"4.4 ± 1.1","Flexion de cuisse sur le bassin (Gauche) [ ID733S2V11_muscu_13_g ] [ STATIC ]"
5,4,5,"4.5 ± 0.6","Flexion de l avant bras (Droit) [ ID733S2V11_muscu_5_d ] [ STATIC ]"
5,4,5,"4.6 ± 0.7","Flexion de l avant bras (Gauche) [ ID733S2V11_muscu_5_g ] [ STATIC ]"
5,4,5,"4.4 ± 0.9","Flexion de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_11_d ] [ STATIC ]"
5,4,5,"4.5 ± 1.0","Flexion de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_11_g ] [ STATIC ]"
5,4,5,"4.5 ± 0.7","Flexion de la main (Droit) [ ID733S2V11_muscu_3_d ] [ STATIC ]"
5,4,5,"4.4 ± 1.0","Flexion de la main (Gauche) [ ID733S2V11_muscu_3_g ] [ STATIC ]"
4.5,4,5,"4.3 ± 0.8","Flexion des doigts (Droit) [ ID733S2V11_muscu_2_d ] [ STATIC ]"
5,4,5,"4.2 ± 1.1","Flexion des doigts (Gauche) [ ID733S2V11_muscu_2_g ] [ STATIC ]"
4,3.3,5,"3.9 ± 1.4","Flexion dorsale du pied (Droit) [ ID733S2V11_muscu_10_d ] [ STATIC ]"
4.5,4,5,"4.1 ± 1.2","Flexion dorsale du pied (Gauche) [ ID733S2V11_muscu_10_g ] [ STATIC ]"
5,5,5,"4.9 ± 0.4","Flexion du cou [ ID733S2V11_muscu_15 ] [ STATIC ]"
4,4,5,"4.0 ± 1.4","Flexion plantaire des orteils (Droit) [ ID733S2V11_muscu_8_d ] [ STATIC ]"
