Analyses,Catégories de patients,Critères,Limites basses,Limites hautes,Unités
Récept.Soluble Transferrine,Femme,[],1.9,4.4,mg/L
Récept.Soluble Transferrine,Homme,[],2.2,5,mg/L
Sels biliaires,Tous,[],1,10,µmol/L
Sodium,Tous,[],136,145,mmol/L
Sodium (urines),Tous,[],20,150,mmol/L
Transferrine,Tous,[],2,3.6,g/L
Triglycérides,Tous,<,,1.7,mmol/L
Triglycérides,Tous,<,,1.49,g/L
TroponineT haute sensibilité,Tous,[],3,14,ng/L
Urée,Tous,[],2.8,8.1,mmol/L
Urée (urines),Tous,[],286,595,mmol/L
