PARAMETER
1ere heure (VS)
Ac anti-HBc totaux (HBCCR3)
Ac anti-onco-neuronaux (serum) (2AMPHI)
Ac totaux anti-HCV (HCVCR)
Ag HBS Abbott (HBSGR)
Alpha 1 ELE_A1P
Alpha 2 ELE_A2P
Bon R (BON)
Bon U (BON_U)
CCMH (NG_CCMH)
CMV IgG (CMVC2R)
COHb (gz_COHb)
CULTURE (BACULTCR)
Cellules (BACYCEL)
Commentaire (COM01)
Commentaires serologie HBV (COMHBVT)
Cristaux (BACYCR1)
Cylindres (BACYCY)
Cytologie (BACY1)
Electrophorese (ELE_COM1)
Etat de la demande Apo E (bm_dppapoe)
Etat de la demande Sod1 (bm_dppsod1)
Etat de la demande Tdp (bm_dpptdp)
Extraction d'ADN (bm_extract)
FG (FGP)
FS (FS_COM1)
Gamma ELE_GP
HIV (HIVb2R)
Immunofixation (IMM)
Nature Virologie (VINAT)
Num. (NG_IDH)
PCR simplex (bm_pcrsim)
Patient (QUICKP)
Prise en charge BRET/TROU (BAPECTECHB)
Temperature (gz_temp)
Temps Patient (QUICKT)
Temps Temoin (QUICKTE)
Titre (CMVC2T)
Traitement (TTHEMO)
Ac anti-HBs (HBSC2R)
Ac anti-HTLV (HTLCR)
Ac anti-nucleaire (Aspect)1 (2ANASPECT1)
Ac anti-nucleaire (Aspect) (2ANAASPECT)
ECT depistage (Phadia) (2ECT)
Etat de la demande Fus (bm_dppfus)
HbFoet (gz_HbFoet)
Plomb sanguin en 3PLO_S2
RETOUR BIOMNIS ABC (RET_BM_ABC)
Statut Patient (INFO_GAZ_3)
Ac anti - gangliosides (2RCHGM_IMP)
Ac anti-gangliosides (2RCHGM)
CULTURE HEMOC AERO (BACHAECB)
Commentaires HIV (COMHIVCT)
Commentaires HTLC (COMHTLCT)
Commentaires anti-HCV totaux (COMHCVCT)
Conclusion Alzheimer (4ALZCC)
HEMOCULTURE ANA (BACHANCB)
Resultat DPP Hemoc (BADPPH)
Anticorps anti-nulcleaires QL (2QL_TITRE)
Depistage ANA Neg/Pos (2QL_NP)
Retour Cerba ABC (RET_CB_ABC_FILE)
Ac totaux anti-HBC (HBCCR)
Duree de recueil (INFO_UR_du)
HIV 1ere technique (HIVaR)
HIV 2e technique (HIVbR)
IgG HSV (HSVCR)
ANCA : Conclusion (2ANCA_T)
ANCA sur Formol (2F_TITRE)
Acide Nalidixique (BANASIR)
Amikacine (BAANSIR)
Amox + ac. clavulanique (BAAMCSIR)
Ampicilline (BAAMSIR)
COMMENTAIRE CULTURE URINE (BACOMURI)
Cefoxitine (BAFOXSIR)
Ceftazidime (BACAZSIR)
DDIV Patient (DDIVP)
Ertapeneme (BAERMSIR)
Fosfomycine (BAFOSSIR)
Furanes (BAFTSIR)
Gentamicine (BAGMSIR)
IDENT (BACIDENTATB)
Ofloxacine (BAOFXSIR)
Piperacilline + Tazobactam (BATZPSIR)
Protocole (PROTOCOLE)
Ticarcilline (BATICSIR)
Trimethoprime + sulfamethoxazole (BASXTSIR)
TroponineT hs (TRO_T)
protocole MNIV (4PROTOCOLE)
Cefotaxime (BACTXSIR)
Ciprofloxacine (BACIPSIR)
ED GENERAL (BAED1)
Imipeneme (BAIPMSIR)
Netilmicine (BANETSIR)
Prise en charge TROUSSEAU (BAPECTJOUR)
Tobramycine (BATMSIR)
Cotation Gangliosides G050 (2COTG050)
IgG anti-Borrelia burgdorferi sensu lato (BORCR)
Retour Cerba LBM BR (RET_CB_LBB_FILE)
% G8 (HBA1C_G8)
APSYMV (APSYMV)
Ac anti-ADN (Elia) (2ADN1)
Anticorps anti-ADN natif (2ADN1txt)
IgM anti-Borrelia burgdorferi sensu lato (BORMR)
PROSSV (PROSSV)
TYPORV (TYOPRV)
Volume d'urines (INFO_UR_vo)
BORRELIOSE IGG (BORIGGLOT)
Borreliose IgM (BORIGMLOT)
T.P.H.A (NLOTTPHA)
V.D.R.L (NLOTVDRL)
APSYM (APSYM)
Commentaires serologie syphilis (COMSYPTTT)
PCR COVID 19 TFS (TFS-IC)
PROSS (PROSS)
Syphilis abbott (SYPTTR)
TYPOR (TYPOR)
CULT CONT FLORE (BACCONT)
Debit d'oxygene (gz_debit_O2)
Erythromycine (BAESIR)
Pristinamycine (BAPTSIR)
Rifampicine (BARASIR)
Soit (PRO_U_j)
Tetracycline (BATESIR)
BACYDIVT (BACYDIVT)
reticulocytes automatises (RETI)
Leuco/CHP (BACYLEUCHP)
Trou anionique (TAN)
Etat de la demande (bm_dppc9or)
IRF (RETX_IRF)
Ret-He (RETX_HE)
Commentaires borrelioses (SEBORCOM)
