"Column_1","Column_2","ARI_Score"
"MANHATTAN_UMAP_KMEANS_4","EUCLIDEAN_UMAP_KMEDOIDS_6",0.7610883820702649
"MANHATTAN_UMAP_KMEANS_4","EUCLIDEAN_UMAP_KMEANS_3",0.728439175010731
"MANHATTAN_UMAP_KMEANS_4","EUCLIDEAN_UMAP_KMEANS_4",0.9390830274055456
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_AHC_6",0.7732688889835713
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_KMEDOIDS_3",0.8453621362837896
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_KMEDOIDS_4",0.7724727037318857
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_KMEDOIDS_5",0.810665474341663
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_KMEANS_3",0.8611030956892801
"EUCLIDEAN_UMAP_AHC_4","EUCLIDEAN_UMAP_KMEANS_4",0.8304534952783114
"EUCLIDEAN_UMAP_AHC_6","EUCLIDEAN_UMAP_KMEDOIDS_4",0.8207206946024027
"EUCLIDEAN_UMAP_AHC_6","EUCLIDEAN_UMAP_KMEDOIDS_5",0.8746710318207244
"EUCLIDEAN_UMAP_AHC_6","EUCLIDEAN_UMAP_KMEDOIDS_6",0.887857338402774
"EUCLIDEAN_UMAP_AHC_6","EUCLIDEAN_UMAP_KMEANS_4",0.8437855129002662
"EUCLIDEAN_UMAP_KMEDOIDS_2","EUCLIDEAN_UMAP_KMEANS_2",0.955060567345883
"EUCLIDEAN_UMAP_KMEDOIDS_3","EUCLIDEAN_UMAP_KMEDOIDS_4",0.7064885650369591
"EUCLIDEAN_UMAP_KMEDOIDS_3","EUCLIDEAN_UMAP_KMEDOIDS_5",0.7242405367940088
"EUCLIDEAN_UMAP_KMEDOIDS_3","EUCLIDEAN_UMAP_KMEANS_3",0.9573869348452052
"EUCLIDEAN_UMAP_KMEDOIDS_3","EUCLIDEAN_UMAP_KMEANS_4",0.7458904279859707
"EUCLIDEAN_UMAP_KMEDOIDS_4","EUCLIDEAN_UMAP_KMEDOIDS_5",0.9357488367758914
"EUCLIDEAN_UMAP_KMEDOIDS_4","EUCLIDEAN_UMAP_KMEDOIDS_6",0.7482355933766395
"EUCLIDEAN_UMAP_KMEDOIDS_4","EUCLIDEAN_UMAP_KMEANS_3",0.7258300810800549
"EUCLIDEAN_UMAP_KMEDOIDS_4","EUCLIDEAN_UMAP_KMEANS_4",0.8994822742164342
"EUCLIDEAN_UMAP_KMEDOIDS_5","EUCLIDEAN_UMAP_KMEDOIDS_6",0.7978525800841346
"EUCLIDEAN_UMAP_KMEDOIDS_5","EUCLIDEAN_UMAP_KMEANS_3",0.7472689141752501
"EUCLIDEAN_UMAP_KMEDOIDS_5","EUCLIDEAN_UMAP_KMEANS_4",0.8784278045159756
"EUCLIDEAN_UMAP_KMEDOIDS_6","EUCLIDEAN_UMAP_KMEANS_4",0.7643227066577771
"EUCLIDEAN_UMAP_KMEANS_3","EUCLIDEAN_UMAP_KMEANS_4",0.7547678801352102
"COSINUS_AHC_3","COSINUS_AHC_4",0.9957559995157922
"COSINUS_AHC_3","COSINUS_AHC_5",0.9952382894283024
"COSINUS_AHC_4","COSINUS_AHC_5",0.9994822794500499
"COSINUS_AHC_6","COSINUS_KMEDOIDS_3",0.8053199749334928
