"NB_FEATURES","METHOD","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","NB_PATIENTS_PER_CLUSTER","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","CH","HS_AVG","HS_STD","PATIENT_DISTRIBUTION","MATCHING_PERCENTAGE","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN"
"18","CF9_WSD_UMAP_SPEC_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","SPEC","143, 226",2,0.6206665635108948,0.1686803549528122,1059.5721635434513,0.9224957431554996,0.013793155191738009,0.9631896167239676,73.1442205726405,0.0000000000000000000000000000004318,134.4672992143837,0.00000000000000000000000000000001416,141.25347582773597
"18","CF9_WSD_KMD_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","KMD","267, 102",2,0.7727406484648364,0.29241079603911896,-1,0.6531313998965542,0.04170286478765735,0.850530668278094,74.08978437610463,0.000000000000000000000000000002122,131.30661438546653,0.0000000000000000000000000000001783,136.22366981890295
"18","CF9_WSD_UMAP_AHC_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","AHC","230, 139",2,0.6260144114494324,0.16272227466106415,1068.238896766418,0.9227567328980997,0.012318740592679286,0.9556734265867544,73.36809237657594,0.000000000000000000000000000007017,128.93242572200668,0.00000000000000000000000000000007127,138.04424917567235
"18","CF9_WSD_UMAP_KMD_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KMD","139, 230",2,0.6260144114494324,0.16272227466106415,1068.238896766418,0.9259263570099655,0.011734323951451622,0.9556734265867544,73.36809237657594,0.000000000000000000000000000007017,128.93242572200649,0.00000000000000000000000000000007127,138.0442491756724
"18","CF9_WSD_UMAP_KME_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KME","139, 230",2,0.6260144114494324,0.16272227466106415,1068.238896766418,0.9221259341430665,0.015028291995614467,0.9556734265867544,73.36809237657594,0.000000000000000000000000000007017,128.93242572200649,0.00000000000000000000000000000007127,138.0442491756724
"18","CF9_WSD_AHC_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","AHC","27, 342",2,0.8295175581264673,0.31139533713081424,-1,0.6602320948964622,0.03540550465781562,0.37764632137370024,63.71803935430659,0.000000000000000000797,78.50742653155443,0.00000000000000000001139,86.90356650832051
"18","CF9_WSD_KMD_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","KMD","172, 43, 154",3,0.6104567619780636,0.31839982469929046,-1,0.6599120906350457,0.037784521313509824,0.8838265162431447,76.40214445622718,0.0000000000539,43.030429514474676,0.0000000000004837,52.27008182143968
"18","CF9_WSD_SPEC_2","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","SPEC","89, 280",2,0.6476154355335216,0.5045174322182152,-1,0.6630498188267964,0.03568926742134724,0.7970176019937294,73.48886532343585,0.00000002205,31.30473183126105,0.00000000000000002991,71.3503388659166
"18","CF9_WSD_UMAP_SPEC_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","SPEC","118, 125, 126",3,0.5616980791091919,0.16220782697200775,1262.5923441789369,0.9222269513576126,0.013549128492251117,0.9996164266867366,70.25745257452574,0.00000003246,30.554424014640265,0.000000004296,34.48478101409324
"18","CF9_WSD_UMAP_KME_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KME","125, 119, 125",3,0.5620808601379395,0.16007260978221893,1264.6297069442332,0.9198759270311447,0.0159187198783749,0.99975800248337,70.2176858725109,0.00000004136,30.084550262274597,0.000000006207,33.76858690736247
"18","CF9_WSD_UMAP_KMD_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KMD","119, 125, 125",3,0.5620808601379395,0.16007260978221893,1264.6297069442332,0.9245490256470675,0.01239146839109358,0.99975800248337,70.2176858725109,0.00000004136,30.084550262274583,0.000000006207,33.76858690736247
"18","CF9_WSD_UMAP_AHC_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","AHC","147, 125, 97",3,0.5373713970184326,0.2290244698524475,1133.7133561009919,0.9218943138846458,0.013358182207339931,0.987212877443369,71.04542241074586,0.000002774,21.96686477275104,0.000000001913,36.05995728910529
"18","CF9_WSD_AHC_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","AHC","246, 12, 111",3,0.5078628840805351,0.5240255171844933,-1,0.6633526872277942,0.039506514621872914,0.6763784718805765,71.48285613290916,0.00001171,19.21004842323471,0.00000009927,28.388192598933752
"18","CF9_WSD_UMAP_SPEC_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","SPEC","60, 118, 79, 112",4,0.5067636370658875,0.17096742987632751,1181.4364082682564,0.9241808280656352,0.013254213860286817,0.9751372212718631,68.8877106162366,0.0001194,14.802140749861543,0.0000416,16.796826120388967
"18","CF9_WSD_UMAP_KMD_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KMD","119, 60, 113, 77",4,0.508724570274353,0.16944123804569244,1183.8991120675164,0.9220981878730111,0.014384467834876676,0.9736036304603065,68.93631436314364,0.00023,13.568625107004003,0.0001018,15.103848147770654
"18","CF9_WSD_UMAP_KME_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KME","74, 119, 116, 60",4,0.5109919309616089,0.16803307831287384,1184.9299626717377,0.9228697274902095,0.013516838739696804,0.9711611398032373,69.09390833038765,0.0008633,11.099936036734558,0.0005548,11.921789268214928
"18","CF9_WSD_SPEC_3","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","SPEC","10, 119, 240",3,0.737227041474091,0.25027096210388516,-1,0.647680136225842,0.042216152741849956,0.675868840951256,76.02509720749381,0.002341,9.26060519296076,0.0001488,14.386840722100619
"18","CF9_WSD_UMAP_SPEC_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","SPEC","112, 85, 53, 54, 65",5,0.4325522780418396,0.20458176732063293,1059.054044148017,0.9228504292091619,0.013631553039990463,0.9729548547494231,65.82567456109344,0.008819,6.859177501156542,0.0222,5.230289153304305
"18","CF9_WSD_KMD_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","KMD","159, 15, 105, 90",4,0.5297678471475514,0.23578618924073208,-1,0.6495541889185888,0.04158998758705893,0.8618220980858161,74.54783786968304,0.01589,5.815424533646658,0.0007155,11.44847403262136
"18","CF9_WSD_SPEC_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","SPEC","3, 10, 77, 74, 205",5,0.4797608416129674,0.3303221677428009,-1,0.6566582112012754,0.043372752120747024,0.6913342820293211,76.63632614587016,0.1604,1.970683450144062,0.1138,2.500888099467141
"18","CF9_WSD_SPEC_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","SPEC","13, 3, 31, 17, 103, 202",6,0.4252575186914727,0.4249716931984281,-1,0.6540056008538953,0.03987727853162884,0.6657675835061327,77.5892541534111,0.1843,1.7624252349474652,0.3723,0.7960767444521288
"18","CF9_WSD_UMAP_SPEC_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","SPEC","40, 42, 46, 54, 87, 100",6,0.4138503670692444,0.25162509083747864,974.2651233598775,0.9245574444996322,0.01157393798475129,0.9619059212672003,63.87416048073524,0.2249,1.4728098203593694,0.7019,0.1464944447744014
"18","CF9_WSD_UMAP_KMD_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KMD","37, 58, 60, 56, 84, 74",6,0.450689435005188,0.20904727280139923,1144.710664464721,0.9226226002906631,0.011584680338664126,0.9834310169824041,62.339460351125254,0.3096,1.032264796364806,0.222,1.4914789758083695
"18","CF9_WSD_UMAP_AHC_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","AHC","125, 84, 97, 63",4,0.476266086101532,0.18815170228481293,1050.485217762215,0.9211179815822991,0.013363089616275619,0.9785923242106548,65.15405914928715,0.359,0.8412194632220472,0.0847,2.9722520123173437
"18","CF9_WSD_UMAP_KME_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KME","68, 100, 63, 60, 78",5,0.45696377754211426,0.17304614186286926,1175.543914103648,0.9231965743250902,0.011093315985214113,0.9886448589622161,64.60468952515612,0.3851,0.7543756767349182,0.07115,3.2561943573405
"18","CF9_WSD_KMD_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","KMD","83, 9, 119, 113, 45",5,0.41133443807067654,0.2241625320389086,-1,0.655471198230008,0.037124218405384095,0.8761577588031011,70.64039118652056,0.412,0.6730774154410812,0.06954,3.2939007713000583
"18","CF9_WSD_UMAP_AHC_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","AHC","97, 84, 65, 63, 60",5,0.4447329640388489,0.18713104724884033,1136.861034558507,0.9217823846147458,0.016222188999253633,0.9886382624928495,64.61205372923294,0.4237,0.6400970534859655,0.09884,2.724086679266547
"18","CF9_WSD_UMAP_AHC_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","AHC","84, 63, 65, 80, 60, 17",6,0.437428742647171,0.21813568472862244,1094.2044884472746,0.9225335981216961,0.013230150437632145,0.9561316195516375,62.988983150701074,0.4237,0.6400970534859655,0.1586,1.9871028329382434
"18","CF9_WSD_SPEC_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","SPEC","8, 17, 173, 171",4,0.6042058817898504,0.36910488145034853,-1,0.6512598425532419,0.04314279926512798,0.6754860210140765,76.22098503593732,0.4383,0.6008380357095439,0.857,0.032482323382098874
"18","CF9_WSD_AHC_4","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","AHC","12, 209, 111, 37",4,0.4989847601235264,0.36987012565336425,-1,0.6530786475909389,0.0372543227182713,0.7396361394709958,76.409508660304,0.4551,0.557833793807433,0.09112,2.8545572081491057
"18","CF9_WSD_KMD_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","KMD","9, 83, 69, 89, 83, 36",6,0.29889908768427614,0.2272199409745868,-1,0.650780493443513,0.04219564840034037,0.9182851747583081,65.95381171203016,0.5456,0.3651681087870034,0.1036,2.648705433148909
"18","CF9_WSD_UMAP_KME_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","YES","KME","68, 52, 60, 64, 79, 46",6,0.44788920879364014,0.1870328187942505,1190.9944858173876,0.9233837134767139,0.012407186172355544,0.991530700789966,62.08907741251326,0.6872,0.16210736882619906,0.6204,0.24532239962184432
"18","CF9_WSD_AHC_5","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","AHC","209, 37, 111, 2, 10",5,0.49117946034143195,0.3555932649381839,-1,0.6571914289209811,0.03535543619557601,0.6461919397018138,76.42129138682692,0.8522,0.0347265059015856,0.3876,0.7465869544616399
"18","CF9_WSD_AHC_6","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM_LINEAR","NO","AHC","37, 135, 111, 2, 10, 74",6,0.41119462077799757,0.24473751146385128,-1,0.655296968356814,0.040736136758733554,0.7858879594611231,71.25456580652762,0.8522,0.0347265059015856,0.3876,0.7465869544616399
