"NB_FEATURES","METHOD","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","NB_PATIENTS_PER_CLUSTER","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","CH","HS_AVG","HS_STD","PATIENT_DISTRIBUTION","MATCHING_PERCENTAGE","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN"
"19","CF7_WSD_KMD_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","KMD","71, 68, 26, 82, 63, 59",6,0.18415161099104918,0.16122797951921183,-1,0.0886298498255437,0.015740549798331165,0.9738251214262107,62.383645575586186,0.5804,0.30554358746778953,0.8591,0.03152468740685418
"19","CF7_WSD_UMAP_SPEC_5","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","36, 59, 84, 81, 109",5,0.4720233976840973,0.24058641493320465,1146.9041116272922,0.9212402245954138,0.013742656127889158,0.9631645527479525,65.12607517379521,0.586,0.29659720423269775,0.7485,0.10282535967782996
"19","CF7_WSD_AHC_5","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","192, 9, 138, 7, 23",5,0.29311944737232715,0.21531380798339156,-1,0.08620374944535052,0.013735650278974967,0.6502481958039906,75.41534110993284,0.7629,0.09102567189806186,0.1336,2.249743948421719
"19","CF7_WSD_AHC_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","138, 9, 100, 7, 23, 92",6,0.2236780840823571,0.21869262320640526,-1,0.08442084262549043,0.016845934338338177,0.7851189116735604,70.25745257452574,0.7629,0.09102567189806186,0.1336,2.249743948421719
"19","CF7_WSD_SPEC_4","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","SPEC","16, 28, 118, 207",4,0.3354520396504246,0.2009649911374266,-1,0.08674645675408225,0.01440637878109821,0.7362186956525957,77.26670201484623,0.8083,0.05888190152172301,0.04867,3.8865512655193255
"19","CF7_WSD_UMAP_AHC_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","AHC","110, 52, 78, 69, 25, 35",6,0.4578772187232971,0.2452121078968048,1130.6507701534551,0.9159724645144719,0.01663430203824809,0.940288952290949,63.42052550960292,0.8374,0.042125360328398524,0.9459,0.00460056747434903
"19","CF7_WSD_UMAP_SPEC_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","109, 61, 75, 34, 37, 53",6,0.4705686569213867,0.21786043047904968,1183.7862051103002,0.9187616678088255,0.016785513477117237,0.9547267800078638,62.77394839165783,0.8396,0.04097727723297242,0.7802,0.07789131236970416
"19","CF7_WSD_UMAP_AHC_4","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","AHC","112, 84, 111, 62",4,0.5337082743644714,0.18187089264392853,1347.7416608634253,0.9178828079507662,0.014248588196281194,0.9809217724167624,68.22345940850713,0.874,0.025142505309326456,0.5217,0.4105789563903822
"19","CF7_WSD_UMAP_KMD_4","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KMD","89, 61, 110, 109",4,0.5355085730552673,0.17885398864746094,1365.3358481412472,0.9163668828609743,0.014310955236714879,0.9821708704614406,68.13950748203135,0.8948,0.01747917852554174,0.8578,0.03209341423146609
"19","CF7_WSD_UMAP_SPEC_4","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","104, 110, 63, 92",4,0.5303196907043457,0.1858150213956833,1355.1807560092157,0.9169805159069696,0.014102569024499242,0.9852403535557724,67.84641215977378,0.9575,0.0028388864659684406,0.6875,0.16176301717149222
"19","CF7_WSD_UMAP_KME_4","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KME","87, 110, 63, 109",4,0.5344623327255249,0.17781797051429749,1365.6841474310286,0.9165147629990663,0.015058572928519384,0.9835401572202634,68.00106044538707,0.9586,0.002690822069329304,0.7585,0.09452388863771279
"19","CF7_WSD_UMAP_KME_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KME","64, 52, 109, 44, 48, 52",6,0.46556007862091064,0.19452634453773499,1218.8426607988215,0.914977012475472,0.016240771107673732,0.9684613679301955,61.96977730646872,0.9834,0.0004334661235548204,0.8531,0.03430548673632581
"19","CF7_WSD_UMAP_KMD_6","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KMD","101, 56, 40, 49, 56, 67",6,0.46000534296035767,0.18438464403152466,1255.0230035930647,0.9170953776786389,0.01477849975444376,0.9742715200924574,61.89466242488512,0.9934,0.00006775439264886716,0.819,0.05235876877475938
