"NB_FEATURES","METHOD","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","NB_PATIENTS_PER_CLUSTER","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","CH","HS_AVG","HS_STD","PATIENT_DISTRIBUTION","MATCHING_PERCENTAGE","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN"
"7","CF5_WSD_UMAP_SPEC_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","125, 244",2,0.5332276821136475,0.19213266670703888,597.1979036983498,0.8662756152054746,0.0259978883404815,0.9236207839788103,74.20725434947896,0.0000000000000000000000001687,108.92294426435251,0.000000000000000000000000001348,118.49987942510296
"7","CF5_WSD_KMD_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","NO","KMD","182, 187",2,0.4499751602591008,0.22753149099496203,-1,0.14484383582855945,0.027466135614375817,0.9998675520897977,72.6478524680591,0.00000000000000000000005262,97.54597199279073,0.0000000000000000000000004565,106.95030550235033
"7","CF5_WSD_AHC_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","341, 28",2,0.553192759707185,0.2480454128507618,-1,0.14819250674812048,0.027790869145290446,0.38749580927216914,62.5460291903335,0.00000000000000000002329,85.49002622461221,0.0000000000000000000001379,95.63782863844202
"7","CF5_WSD_UMAP_KMD_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KMD","236, 133",2,0.5401343107223511,0.1674616038799286,628.4599464158781,0.8666030410522904,0.024496052174385077,0.9430425248380307,73.86436483444399,0.000000000000001707,63.37712688871265,0.000000000000000000001181,91.38710806089456
"7","CF5_WSD_UMAP_KME_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KME","140, 229",2,0.5390846729278564,0.15700381994247437,632.954644234463,0.869813585200588,0.02392025437326752,0.9576198520048528,73.15473262071947,0.0000000000002304,53.72675652571733,0.000000000000000003086,75.83342456290218
"7","CF5_WSD_UMAP_AHC_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","YES","AHC","154, 215",2,0.5193912982940674,0.17393088340759277,597.3073007922814,0.868857700233183,0.019614230667402404,0.9801962745461719,71.39108785425705,0.00000000002133,44.84453602819844,0.000000000000005107,61.21874265442207
"7","CF5_WSD_KMD_3","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","NO","KMD","153, 111, 105",3,0.36687779478683463,0.18731550176220005,-1,0.14522060031977332,0.027659241693660727,0.9867172564984579,73.79578693143701,0.0000000000427,43.4860384226131,0.0000000000007415,51.43131259334293
"7","CF5_WSD_SPEC_2","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","NO","SPEC","106, 263",2,0.45394796103254215,0.24833943722817628,-1,0.146835206374839,0.02790397639712361,0.8651592218664269,73.45289741640204,0.0000000004175,39.029111452622146,0.0000000000000000003615,80.06925665856589
"7","CF5_WSD_UMAP_SPEC_3","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","144, 101, 124",3,0.4445180594921112,0.20778726041316986,527.605874706439,0.8673022784708441,0.0215677513599867,0.9906282994163949,72.21849516227618,0.00000003284,30.53203707484105,0.00000000006396,42.695451861342185
"7","CF5_WSD_AHC_3","MANUAL","None","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","28, 183, 158",3,0.43106649831802146,0.19671837217823665,-1,0.1455466247319855,0.026015304431451513,0.8252743253820585,76.78787065611164,0.0000000809,28.784491708581086,0.0000000009774,37.36941999084448
