"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"GOM",2,"253, 114",0.0000000000000000000000003129,107.699,"0.61 ± 0.229"
"MEY",3,"239, 101, 27",0.00004264,16.75,"0.592 ± 0.211"
"GRO",4,"13, 86, 118, 150",0.02323,5.151,"0.538 ± 0.214"
