"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"WSD_UMAP_KMD_2",2,"184, 183","4.863e-08",29.770625190248523,"0.5099860429763794 ± 0.21050690114498138"
"WSD_UMAP_KME_2",2,"182, 185","8.791e-08",28.62339002023006,"0.5096549391746521 ± 0.2118198275566101"
"WSD_UMAP_SPEC_2",2,"172, 195","9.132e-08",28.54981421024031,"0.5067852735519409 ± 0.22387850284576416"
"WSD_UMAP_AHC_2",2,"195, 172","9.132e-08",28.549814210240243,"0.5067852735519409 ± 0.22387850284576416"
"RF_SPEC_2",2,"25, 342","2.966e-06",21.838598001366012,"0.501389008911985 ± 0.2018591754333088"
"RF_UMAP_AHC_2",2,"281, 86","2.988e-05",17.425576819243975,"0.714762270450592 ± 0.12900513410568237"
"RF_UMAP_KMD_2",2,"281, 86","2.988e-05",17.425576819243975,"0.714762270450592 ± 0.12900513410568237"
"RF_UMAP_KME_2",2,"281, 86","2.988e-05",17.425576819243975,"0.714762270450592 ± 0.12900513410568237"
"RF_UMAP_SPEC_2",2,"281, 86","2.988e-05",17.425576819243975,"0.714762270450592 ± 0.12900513410568237"
"WSD_AHC_2",2,"354, 13","4.843e-04",12.175095379553754,"0.5799556874980776 ± 0.1834396337720863"
"WSD_SPEC_2",2,"355, 12","8.466e-04",11.136218333334432,"0.5865593332277682 ± 0.18561778867820203"
"RF_UMAP_KME_3",3,"179, 86, 102","1.207e-01",2.4077270531833324,"0.6382984519004822 ± 0.19573529064655304"
"RF_UMAP_AHC_3",3,"180, 86, 101","1.248e-01",2.355755035560098,"0.6390736103057861 ± 0.19507107138633728"
"RF_UMAP_KMD_3",3,"180, 86, 101","1.248e-01",2.355755035560098,"0.6390736103057861 ± 0.19507107138633728"
"RF_UMAP_SPEC_3",3,"86, 180, 101","1.248e-01",2.355755035560098,"0.6390736103057861 ± 0.19507107138633728"
"RF_UMAP_AHC_4",4,"101, 107, 73, 86","1.248e-01",2.3557550355600974,"0.5818641781806946 ± 0.24162131547927856"
"RF_UMAP_SPEC_4",4,"101, 86, 42, 138","1.248e-01",2.3557550355600974,"0.5916377305984497 ± 0.258095383644104"
"RF_UMAP_KMD_4",4,"86, 66, 116, 99","1.387e-01",2.192565023335552,"0.5829969048500061 ± 0.24467112123966217"
"WSD_UMAP_KMD_3",3,"54, 183, 130","1.894e-01",1.7226554526949784,"0.5740081071853638 ± 0.1951696127653122"
"RF_UMAP_KME_4",4,"84, 86, 84, 113","2.902e-01",1.1189232746122908,"0.5869225263595581 ± 0.23208488523960114"
"RF_SPEC_3",3,"356, 10, 1","3.301e-01",0.9484066767830057,"0.5245832135537752 ± 0.22030146310120946"
"WSD_UMAP_KME_3",3,"49, 141, 177","3.456e-01",0.8897171700605019,"0.5807688236236572 ± 0.19696585834026337"
"WSD_SPEC_3",3,"9, 357, 1","3.621e-01",0.8305084745762723,"0.5663392154385138 ± 0.21243365192616626"
"WSD_UMAP_AHC_3",3,"147, 172, 48","4.382e-01",0.6010665316451371,"0.5814903974533081 ± 0.1977849304676056"
"WSD_UMAP_SPEC_3",3,"172, 147, 48","4.382e-01",0.6010665316451371,"0.5814903974533081 ± 0.1977849304676056"
"WSD_UMAP_AHC_4",4,"72, 172, 48, 75","5.574e-01",0.3442742457708994,"0.5573369860649109 ± 0.1670544594526291"
"WSD_UMAP_KMD_6",6,"62, 44, 48, 32, 75, 106","5.574e-01",0.3442742457708994,"0.5151848793029785 ± 0.21886742115020752"
"RF_UMAP_KME_5",5,"86, 81, 95, 62, 43","6.418e-01",0.21640426411950153,"0.5626111626625061 ± 0.2587895393371582"
"RF_UMAP_SPEC_5",5,"86, 135, 36, 68, 42","7.149e-01",0.13343239348715114,"0.5775486826896667 ± 0.2809618413448334"
"WSD_UMAP_AHC_5",5,"172, 75, 48, 58, 14","8.396e-01",0.0409551131267947,"0.5706366300582886 ± 0.18885719776153564"
"WSD_UMAP_KME_6",6,"58, 48, 70, 75, 102, 14","8.396e-01",0.0409551131267947,"0.5436917543411255 ± 0.20034487545490265"
"RF_UMAP_AHC_5",5,"74, 107, 73, 86, 27","8.473e-01",0.0371022524168145,"0.5776073932647705 ± 0.26860785484313965"
"WSD_UMAP_AHC_6",6,"75, 86, 86, 58, 14, 48","8.709e-01",0.026395841132697925,"0.5384232997894287 ± 0.20316998660564423"
"RF_UMAP_SPEC_6",6,"86, 60, 64, 42, 37, 78","8.917e-01",0.018552222723580637,"0.5822948217391968 ± 0.2359679639339447"
"RF_UMAP_KMD_6",6,"86, 57, 84, 42, 38, 60","8.939e-01",0.017789329755214835,"0.5609776973724365 ± 0.2707233130931854"
"WSD_UMAP_KMD_4",4,"161, 48, 69, 89","9.128e-01",0.011986826232497727,"0.5227962732315063 ± 0.17874330282211304"
"WSD_UMAP_SPEC_4",4,"172, 58, 89, 48","9.128e-01",0.011986826232497715,"0.5251187086105347 ± 0.1927536278963089"
"RF_UMAP_KME_6",6,"60, 86, 62, 40, 42, 77","9.190e-01",0.010349730995179725,"0.5815800428390503 ± 0.23436740040779114"
"RF_UMAP_KMD_5",5,"86, 52, 84, 67, 78","9.191e-01",0.010326677567335924,"0.551111102104187 ± 0.26341721415519714"
"RF_UMAP_AHC_6",6,"73, 107, 48, 86, 27, 26","9.670e-01",0.0017090852017616906,"0.5420477986335754 ± 0.29734545946121216"
"WSD_UMAP_KMD_5",5,"32, 48, 54, 75, 158","9.712e-01",0.001306124328439563,"0.5226807594299316 ± 0.2006998509168625"
