"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"WSD_SPEC_2",2,"327, 40",0.000000000000000000000000001768,117.96117850935741,"0.715610013327179 ± 0.4201411780211417"
"WSD_KMD_2",2,"128, 239",0.00000000000000000000000002802,112.48213082679524,"0.7563398864016536 ± 0.23529192975026872"
"WSD_AHC_2",2,"332, 35",0.00000000000000000000003151,98.56134696960048,"0.7151910349594303 ± 0.42960604076677383"
"WSD_UMAP_KME_2",2,"211, 156",0.0000000000002386,53.6581598325515,"0.589308500289917 ± 0.16799777746200562"
"WSD_UMAP_KMD_2",2,"209, 158",0.0000000000005797,51.914442567525356,"0.5883902311325073 ± 0.16832712292671204"
"WSD_UMAP_SPEC_2",2,"152, 215",0.0000000000006706,51.6284288606492,"0.5897884964942932 ± 0.17099103331565857"
"WSD_UMAP_AHC_2",2,"228, 139",0.000000000003341,48.4772883471916,"0.5819933414459229 ± 0.2008080631494522"
"WSD_KMD_3",3,"54, 132, 181",0.0000000001008,41.80614314883357,"0.5978800136625811 ± 0.3115531508132413"
"WSD_AHC_3",3,"324, 35, 8",0.0008072,11.224518064957676,"0.5048390772932979 ± 0.5330564303501383"
"WSD_SPEC_3",3,"357, 2, 8",0.006241,7.479228486646884,"0.6387989479255997 ± 0.5500885581707787"
