"FEATURE"
"ALSFRS-R"
"Couper la nourriture"
"Dyspnée"
"Déglutition"
"Ecriture"
"Habillage Hygiène"
"Insuffisance respiratoire"
"Lit Tourner Ajuster draps"
"Marche"
"Monte les escalier"
"Orthopnée"
"Parole"
"Salivation"
"WEIGHT"
"BMI"
"FVC"
"Saturation gz_sat"
"25 D (425D)"
"ALAT"
"ASAT"
"Albumine (ALB)"
"Albumine (LCR) (ALB_C)"
"Alpha 1 (ELE_A1VA)"
"Alpha 2 (ELE_A2VA)"
"Amylase (AMY)"
"Balance ionique (bal)"
"Beta 2 microglobuline (B2M)"
"Beta (ELE_BVA)"
"Bicarbonates (BIC)"
"Bilirubine conjuguee (BILC)"
"Bilirubine non conjuguee (BILNC)"
"Bilirubine totale (BILT)"
"CRP"
"Calcium (CA)"
"Chlorures (CL)"
"Cholesterol (CHO)"
"Cholesterol (CHO_G)"
"Creatine kinase (CK)"
"Creatinine (CRE)"
"DeoxHb (gz_DeoxHb)"
"EB (gz_EB)"
"Fer (FE)"
"Ferritine (FERRI)"
"Gamma (ELE_GVA)"
"Gamma-GT (GGT)"
"Gaz du sang (gz_pH)"
"Glucose (GLU)"
"Glucose (GLU_G)"
"Glucose (LCR) (GLU_C)"
"HCO3- (gz_HCO3-)"
"HDL Cholesterol HDL"
"HDL Cholesterol HDL_G"
"Hb totale (gz_tHb)"
"Hematies (NG_HEM)"
"Hematocrite (NG_HT)"
"Hemoglobine (NG_HB)"
"IgA (IGA)"
"IgG (IGG)"
"IgG (LCR) (IGG_C)"
"IgM (IGM)"
"Index IgG (IND_IGG)"
"LDH"
"LDL Cholesterol LDL"
"LDL Cholesterol LDL_G"
"LY (FS_LY_VA)"
"Leuco BACYLEUCM"
"Leucocytes (NG_LEUC)"
"Lipase (LIP)"
"MO (FS_MONO_VA)"
"Magnesium (MG)"
"MetHb (gz_MetHb)"
"O2Hb (gz_O2Hb)"
"PB (FS_PB_VA)"
"PE (FS_PE_VA)"
"PN (FS_PN_VA)"
"Phosphatases alc. (PAL)"
"Phosphates (PHO)"
"Plaquettes (NG_PLAQ)"
"Plomb sanguin (3PLO_S)"
"Potassium (K)"
"Prealbumine (PRE)"
"Proteines (LCR) (PRO_C)"
"Proteines (PRO)"
