"DIM_0","DIM_1"
0.5041983723640442,0.5246499180793762
0.9896571040153503,0.18563991785049438
0.046577513217926025,0.9378299713134766
0.9522565007209778,0.2346300482749939
0.19471991062164307,0.7955770492553711
0.18585143983364105,0.7467551231384277
0.25755181908607483,0.8333641290664673
0.47030434012413025,0.566737711429596
0.24493251740932465,0.8464335203170776
0.6481940746307373,0.2921271324157715
0.6403017640113831,0.3406524062156677
0.5692441463470459,0.4515441656112671
0.4057934284210205,0.5954247117042542
0.5530177354812622,0.43577319383621216
0.8763941526412964,0.10835206508636475
0.6535876989364624,0.29950958490371704
0.20995716750621796,0.8600670099258423
0.6815716624259949,0.359563410282135
0.6865482330322266,0.36002880334854126
0.9279569983482361,0.1652648150920868
0.9939126372337341,0.011215746402740479
0.2600893974304199,0.774284839630127
0.06232026219367981,0.9823474884033203
1,0.21776586771011353
0.8535300493240356,0.13095811009407043
0.560803234577179,0.38934653997421265
0.0718739926815033,0.954750657081604
0.2811926603317261,0.745675802230835
0.9893660545349121,0.24544095993041992
0.41026532649993896,0.6510846614837646
0.3322923183441162,0.5676920413970947
0.9378749132156372,0.23013734817504883
0.336849570274353,0.7765330076217651
0.9106091856956482,0.2416207492351532
0.9485986828804016,0.018559038639068604
0.5968033671379089,0.3462090492248535
0.28814610838890076,0.7511990070343018
0.017035096883773804,0.9941898584365845
0.5531124472618103,0.510793924331665
0.47207212448120117,0.5049846768379211
0.937506914138794,0.10250285267829895
0.9203529953956604,0.23553630709648132
0.9660008549690247,0.016157925128936768
0.3207584023475647,0.6746799349784851
0.5328510403633118,0.5102149248123169
0.6086481809616089,0.3448849320411682
0.4161685109138489,0.6391597986221313
0.09797832369804382,0.9528014659881592
0.09619969129562378,0.9539909362792969
0.3307235538959503,0.6639655232429504
0.9734283685684204,0.011166155338287354
0.9823909401893616,0.17360305786132812
0.8724021315574646,0.10385802388191223
0.7132534980773926,0.3079984784126282
0.3789321780204773,0.6921538710594177
0.986327052116394,0
0.43622541427612305,0.5705260634422302
0.8436182141304016,0.25813186168670654
0.47516539692878723,0.570992112159729
0.9262912273406982,0.2518743872642517
0.26037976145744324,0.7384708523750305
0.05150553584098816,0.9261480569839478
0.2175179123878479,0.6574289202690125
0.3282005190849304,0.5694596171379089
0.48637300729751587,0.5597282648086548
0.1748896837234497,0.9136157035827637
0.897595226764679,0.24471056461334229
0.9383437633514404,0.0686998963356018
0.3019085228443146,0.8052563667297363
0.7380052208900452,0.26371055841445923
0.19201500713825226,0.8976513147354126
0.05245444178581238,0.9453383684158325
0.3404602110385895,0.5830603241920471
0.15837125480175018,0.869431734085083
0.4456532597541809,0.5524297952651978
0.9523738026618958,0.01476907730102539
0.7179773449897766,0.28390705585479736
0.2917170822620392,0.8131594657897949
0.2038637101650238,0.884082555770874
0.7328532338142395,0.2876185178756714
0.2159872055053711,0.7098526358604431
0.7136025428771973,0.2791551947593689
0.47484052181243896,0.49532532691955566
0.7521511316299438,0.37567979097366333
0.148011714220047,0.8172125816345215
0.5533299446105957,0.4010883569717407
0.6875891089439392,0.3925275206565857
0.9472668170928955,0.05369928479194641
0.38600656390190125,0.6355463862419128
0.34918898344039917,0.7236216068267822
0.9381713271141052,0.20268231630325317
0.9398263096809387,0.2133663296699524
0.8397619724273682,0.13316309452056885
0.8830859661102295,0.11284500360488892
0.2507217526435852,0.8067530393600464
0.321673721075058,0.6274077892303467
0.3093091547489166,0.5815473198890686
0.5109888315200806,0.48149871826171875
0.8493954539299011,0.10360059142112732
0.9524415731430054,0.17224404215812683
0.20338761806488037,0.7796941995620728
0.6291465163230896,0.31196582317352295
0.34603533148765564,0.5703666806221008
0.332220196723938,0.6766613721847534
0.6882538795471191,0.3653430938720703
0.6494283676147461,0.4009671211242676
0.3388580083847046,0.7683639526367188
0.12681561708450317,0.9442975521087646
0.5060545206069946,0.4809790253639221
0.6124034523963928,0.3430560231208801
0.7307978868484497,0.3994860053062439
0.8550488352775574,0.178320974111557
0.940161406993866,0.04450121521949768
0.423526406288147,0.6411827802658081
0.5236304402351379,0.48647505044937134
0.9225499629974365,0.17459407448768616
0.005147263407707214,0.9810594320297241
0.22434106469154358,0.7944871187210083
0.5979591608047485,0.39190369844436646
0.16650782525539398,0.9273405075073242
0.6768368482589722,0.365683376789093
0.4912912845611572,0.5206124782562256
0.5093106031417847,0.46766823530197144
0.9811928272247314,0.2546083331108093
0.9562216401100159,0.00477755069732666
0.8812807202339172,0.09651607275009155
0.32447293400764465,0.5763480067253113
0.6136391162872314,0.2933502197265625
0.5267648100852966,0.44309020042419434
0.6732138395309448,0.3103431463241577
0.7191150188446045,0.3022921085357666
0.7303431034088135,0.3741666078567505
0.9933123588562012,0.2218134105205536
0.3363261818885803,0.6450787782669067
0.15418079495429993,0.8596528768539429
0.36876362562179565,0.7046540379524231
0.4093697667121887,0.5938398838043213
0.009040415287017822,0.9564963579177856
0.7184132933616638,0.40908151865005493
0.7077959775924683,0.33089083433151245
0.31910252571105957,0.6931760311126709
0.21071061491966248,0.8088876008987427
0.38420653343200684,0.6803672313690186
0.6901191473007202,0.3711310029029846
0.14617544412612915,0.9171947240829468
0.6720197796821594,0.2987203001976013
0.3441336750984192,0.6893547773361206
0.27853506803512573,0.8250898122787476
0.2395886480808258,0.6365422606468201
0.9316288828849792,0.026927858591079712
0.722226619720459,0.4101483225822449
0.951413094997406,0.04319003224372864
0.18890228867530823,0.8997894525527954
0.3197263181209564,0.5984674096107483
0.5898095965385437,0.3357159495353699
0.5601847767829895,0.49941909313201904
